Timestamp,Jenis Kelamin,Usia,Seberapa sering anda menggunakan fitur Tiktok Shop?,Sistem pengumpulan poin atau level pada TikTok Shop sudah adil. ,Informasi mengenai syarat kenaikan poin atau level pada TikTok Shop sudah jelas dan transparan. ,Saya memahami mekanisme pengumpulan poin atau peningkatan level di TikTok Shop. ,Sistem pemberian poin atau level pada TikTok Shop dapat dipercaya. ,Perolehan poin atau level pada TikTok Shop sesuai dengan aktivitas yang saya lakukan. ,Saya merasa tertantang saat menyelesaikan target atau misi harian di TikTok Shop.,"Durasi terbatas pada Flash Sale di TikTok Shop meningkatkan rasa tantangan dalam
berbelanja.",Saya merasa tertantang untuk bersaing dengan penonton lain dalam memperoleh produk saat sesi Live Shopping di TikTok Shop.,Saya merasa tertantang untuk terus menonton Live Shopping di TikTok Shop.,Saya merasa tertantang saat mengikuti event campaign (misalnya event tanggal kembar) di TikTok Shop.,Aktivitas seperti Flash Sale di TikTok Shop membuat pengalaman saya menjadi lebih menyenangkan.,Saya merasa terhibur saat berinteraksi dengan fitur Live Shopping di TikTok Shop.,Aktivitas berburu promo di TikTok Shop membuat saya merasa lebih antusias.,"Aktivitas di TikTok Shop terasa sebagai hiburan, bukan sekadar kegiatan berbelanja. ",Proses mengumpulkan voucher atau reward di TikTok Shop memberikan kesenangan bagi saya.,Saya sering menggunakan TikTok Shop.,Kemudahan dalam mencari barang di TikTok Shop membuat saya lebih sering menggunakannya.,Tampilan TikTok Shop mendorong saya untuk kembali menggunakan aplikasi.,Promo atau diskon di TikTok Shop meningkatkan frekuensi penggunaan saya.,Fitur reward di TikTok Shop mendorong saya untuk terus menggunakan aplikasi.
14/04/2026 0:29:48,Perempuan,< 18 tahun,Beberapa kali,3,3,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,3
14/04/2026 0:31:55,Perempuan,18-22 tahun,Beberapa kali,3,3,1,3,3,2,1,1,3,1,3,2,1,1,1,2,3,2,4,1
14/04/2026 0:33:49,Laki-laki,18-22 tahun,Beberapa kali,4,5,4,4,5,5,5,5,5,5,5,4,4,3,3,3,5,5,4,4
14/04/2026 0:34:50,Laki-laki,> 27 tahun,Jarang,3,2,3,3,2,3,3,3,3,3,4,4,3,4,3,3,3,3,4,4
14/04/2026 0:34:51,Laki-laki,18-22 tahun,Beberapa kali,4,3,4,4,4,4,5,5,3,5,5,4,5,4,4,3,3,4,5,3
14/04/2026 0:48:25,Perempuan,18-22 tahun,Beberapa kali,4,4,4,4,4,5,3,4,3,4,4,3,4,4,4,3,4,4,4,4
14/04/2026 5:07:41,Laki-laki,> 27 tahun,Setiap hari,4,2,2,3,3,2,4,2,3,4,4,4,4,4,4,3,2,4,4,2
14/04/2026 5:33:22,Perempuan,> 27 tahun,Jarang,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14/04/2026 5:43:49,Perempuan,18-22 tahun,Beberapa kali,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3
14/04/2026 5:54:42,Perempuan,> 27 tahun,Setiap hari,3,3,3,4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5
14/04/2026 6:25:21,Perempuan,> 27 tahun,Setiap hari,3,3,4,4,3,3,4,3,2,3,5,4,4,5,4,5,5,4,4,3
14/04/2026 6:35:10,Perempuan,> 27 tahun,Jarang,3,3,3,3,3,3,4,2,2,2,4,3,3,3,3,2,3,3,3,3
14/04/2026 6:47:00,Perempuan,18-22 tahun,Setiap hari,5,3,3,5,5,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4
14/04/2026 6:57:31,Perempuan,18-22 tahun,Setiap hari,5,5,3,3,3,2,3,4,3,3,3,3,3,5,3,3,4,3,3,3
14/04/2026 7:04:20,Perempuan,18-22 tahun,Beberapa kali,3,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
14/04/2026 7:10:24,Perempuan,18-22 tahun,Beberapa kali,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
14/04/2026 7:37:11,Perempuan,> 27 tahun,Jarang,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,2,3,3
14/04/2026 7:40:22,Perempuan,> 27 tahun,Setiap hari,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3,3,4,3
14/04/2026 7:43:24,Perempuan,> 27 tahun,Jarang,3,3,4,4,4,3,4,3,3,4,4,3,4,3,4,2,2,3,4,4
14/04/2026 7:48:26,Perempuan,> 27 tahun,Beberapa kali,3,3,1,3,4,1,3,3,4,3,3,3,3,4,3,3,4,3,5,3
14/04/2026 8:18:19,Perempuan,> 27 tahun,Beberapa kali,3,3,4,4,4,2,3,3,3,3,3,4,4,4,3,4,3,3,3,2
14/04/2026 8:21:26,Perempuan,> 27 tahun,Setiap hari,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
14/04/2026 9:09:44,Perempuan,18-22 tahun,Beberapa kali,3,3,4,3,4,3,3,3,3,4,4,4,4,4,4,3,4,3,4,3
14/04/2026 9:33:18,Perempuan,> 27 tahun,Beberapa kali,4,5,5,4,5,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5
14/04/2026 10:16:35,Laki-laki,< 18 tahun,Beberapa kali,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14/04/2026 11:15:34,Perempuan,18-22 tahun,Setiap hari,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
14/04/2026 11:33:27,Perempuan,18-22 tahun,Beberapa kali,3,2,3,2,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,3
14/04/2026 11:49:06,Laki-laki,18-22 tahun,Beberapa kali,3,3,3,3,3,4,4,4,4,5,3,4,4,4,3,4,4,3,5,5
14/04/2026 11:49:11,Laki-laki,18-22 tahun,Beberapa kali,4,4,4,4,4,4,4,4,3,5,4,5,3,5,4,4,3,5,3,4
14/04/2026 11:49:25,Laki-laki,18-22 tahun,Beberapa kali,4,5,5,5,5,4,4,5,3,4,4,5,5,4,5,4,4,5,5,4
14/04/2026 11:50:58,Laki-laki,18-22 tahun,Beberapa kali,4,5,4,4,5,5,5,3,4,4,5,3,4,4,5,3,5,5,4,4
14/04/2026 12:50:11,Perempuan,18-22 tahun,Beberapa kali,3,3,2,2,3,4,4,4,4,3,4,3,3,4,4,2,3,4,3,2
14/04/2026 13:16:59,Perempuan,18-22 tahun,Beberapa kali,3,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3
14/04/2026 13:24:33,Laki-laki,18-22 tahun,Beberapa kali,3,3,5,1,3,3,1,1,3,3,1,2,2,3,3,2,2,2,2,3
14/04/2026 13:58:54,Perempuan,< 18 tahun,Beberapa kali,4,3,3,3,4,3,4,3,3,4,3,3,3,4,4,3,3,4,3,3
14/04/2026 13:58:55,Perempuan,< 18 tahun,Jarang,4,3,3,3,4,4,4,3,4,4,3,3,3,4,4,3,3,4,3,3
14/04/2026 14:08:04,Laki-laki,18-22 tahun,Setiap hari,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14/04/2026 16:08:52,Perempuan,> 27 tahun,Beberapa kali,3,3,3,3,3,3,4,4,4,4,4,5,4,4,3,4,4,4,3,3
14/04/2026 16:38:59,Perempuan,18-22 tahun,Beberapa kali,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14/04/2026 18:08:36,Perempuan,18-22 tahun,Beberapa kali,2,2,2,2,2,2,5,5,5,5,5,4,5,4,5,4,5,3,5,5
14/04/2026 19:57:40,Perempuan,> 27 tahun,Beberapa kali,3,4,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,4,4
14/04/2026 20:35:33,Perempuan,> 27 tahun,Beberapa kali,3,3,3,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4
14/04/2026 21:44:12,Perempuan,18-22 tahun,Beberapa kali,3,3,3,4,5,2,2,2,1,2,3,3,2,3,3,3,3,3,3,2
14/04/2026 21:45:47,Perempuan,18-22 tahun,Jarang,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,4
14/04/2026 21:46:11,Laki-laki,18-22 tahun,Beberapa kali,2,3,4,4,4,2,4,4,5,5,4,5,4,4,3,5,4,5,5,4
14/04/2026 21:46:13,Perempuan,18-22 tahun,Beberapa kali,3,3,3,2,3,3,3,4,4,4,4,4,4,4,4,5,5,4,4,3
14/04/2026 21:46:25,Perempuan,18-22 tahun,Setiap hari,3,3,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,2,5,5
14/04/2026 21:48:04,Laki-laki,18-22 tahun,Beberapa kali,3,4,4,4,3,4,4,4,4,5,4,3,3,3,3,3,3,3,4,3
14/04/2026 21:50:18,Perempuan,18-22 tahun,Beberapa kali,3,3,4,4,4,3,3,4,3,3,4,3,4,3,3,4,3,3,4,3
14/04/2026 21:52:02,Laki-laki,18-22 tahun,Beberapa kali,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
14/04/2026 21:52:59,Laki-laki,18-22 tahun,Setiap hari,1,3,4,4,5,5,3,5,4,1,5,3,5,4,2,5,5,4,4,4
14/04/2026 21:53:06,Laki-laki,18-22 tahun,Beberapa kali,3,3,3,3,3,3,3,3,3,3,5,3,4,3,2,4,4,3,5,3
14/04/2026 21:54:12,Perempuan,18-22 tahun,Jarang,2,4,5,4,2,3,2,2,3,4,4,3,5,4,3,2,4,3,2,4
14/04/2026 21:55:20,Perempuan,18-22 tahun,Beberapa kali,3,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4
14/04/2026 22:10:18,Perempuan,18-22 tahun,Beberapa kali,3,4,3,4,3,4,4,3,3,3,4,4,4,4,4,5,5,4,4,4
14/04/2026 22:26:52,Laki-laki,18-22 tahun,Beberapa kali,3,3,3,4,3,2,3,2,2,2,3,3,3,3,3,3,3,3,4,3
14/04/2026 23:35:02,Laki-laki,18-22 tahun,Beberapa kali,3,3,2,2,3,5,5,5,5,5,5,5,5,3,3,2,4,5,3,2
15/04/2026 4:33:54,Perempuan,> 27 tahun,Setiap hari,3,4,5,4,4,4,4,2,2,3,4,3,4,4,4,5,4,4,3,3
15/04/2026 4:52:48,Perempuan,> 27 tahun,Beberapa kali,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,5,5,3,3,3
15/04/2026 8:14:45,Laki-laki,> 27 tahun,Setiap hari,3,3,3,3,3,1,2,1,1,1,1,1,1,2,1,1,3,3,3,2
17/04/2026 15:55:30,Laki-laki,> 27 tahun,Jarang,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
